id,device,timestamp,accuracy,azimuth,pitch,roll,timestamp
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-58,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187301.91356,3,310.875,-21.171875,1.953125,1383187301.91356
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-59,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187301.938482,3,311.01563,-18.4375,0.84375,1383187301.938482
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-60,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187301.968503,3,311.3125,-18.125,3.890625,1383187301.968503
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-61,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187301.998612,3,311.51563,-16.25,-0.171875,1383187301.998612
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-62,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.028655,3,311.6875,-19.8125,3.28125,1383187302.028655
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-63,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.058491,3,311.64063,-16.71875,-6.734375,1383187302.058491
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-64,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.148448,3,311.79688,-16.65625,-0.890625,1383187302.148448
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-65,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.178575,3,312.07813,-13.84375,-0.59375,1383187302.178575
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-66,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.208476,3,312.40625,-13.578125,0.84375,1383187302.208476
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-67,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.238459,3,312.78125,-13.71875,1.671875,1383187302.238459
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-68,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.268469,3,312.79688,-16.515625,-1.09375,1383187302.268469
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-69,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.299711,3,312.76563,-17.859375,-1.171875,1383187302.299711
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-70,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.328672,3,312.875,-16.34375,0.453125,1383187302.328672
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-71,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.358461,3,312.6875,-17.328125,-4.484375,1383187302.358461
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-72,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.388471,3,312.71875,-14.90625,-3.5,1383187302.388471
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-73,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.418494,3,312.60938,-17.5,-3.78125,1383187302.418494
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-74,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.448508,3,312.5,-17.734375,-4.59375,1383187302.448508
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-75,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.479042,3,312.5,-17.5625,-2.46875,1383187302.479042
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-76,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.508508,3,312.70313,-16.34375,-0.421875,1383187302.508508
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-77,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.539254,3,316.51563,-14.796875,3.328125,1383187302.539254
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-78,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.568513,3,316.48438,-15.609375,-1.125,1383187302.568513
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-79,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.599068,3,316.42188,-16.75,-0.421875,1383187302.599068
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-80,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.628965,3,316.57813,-16.0625,2.765625,1383187302.628965
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-81,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.659991,3,316.65625,-15.671875,1.375,1383187302.659991
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-82,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.748494,3,306.65625,-26.0,-15.65625,1383187302.748494
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-83,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.778465,3,307.01563,-15.234375,-5.828125,1383187302.778465
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-84,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.813739,3,312.625,-13.390625,0.609375,1383187302.813739
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-85,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.843324,3,312.96875,-13.375,1.53125,1383187302.843324
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-86,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.876575,3,313.375,-13.0,3.015625,1383187302.876575
6bfffae7-c258-4007-b188-4fb8e6f5c4a6-87,6b4eb937-f797-4327-89b6-bab34b8f750c,1383187302.898495,3,313.76563,-13.5,4.171875,1383187302.898495
