id,device,timestamp,accuracy,azimuth,pitch,roll,timestamp
22468184-0cc6-427a-a096-bf4aa1753c64-1,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.512224,3,62.3125,9.21875,-0.390625,1380766225.512224
22468184-0cc6-427a-a096-bf4aa1753c64-2,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.552223,3,62.328125,7.328125,-3.609375,1380766225.552223
22468184-0cc6-427a-a096-bf4aa1753c64-3,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.572548,3,62.21875,10.921875,-4.671875,1380766225.572548
22468184-0cc6-427a-a096-bf4aa1753c64-4,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.60216,3,62.09375,11.03125,-5.6875,1380766225.60216
22468184-0cc6-427a-a096-bf4aa1753c64-5,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.632181,3,61.9375,12.578125,-6.078125,1380766225.632181
22468184-0cc6-427a-a096-bf4aa1753c64-6,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.662164,3,61.90625,8.0,-8.25,1380766225.662164
22468184-0cc6-427a-a096-bf4aa1753c64-7,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.692184,3,61.8125,10.78125,-8.625,1380766225.692184
22468184-0cc6-427a-a096-bf4aa1753c64-8,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.752176,3,61.65625,11.71875,-11.0,1380766225.752176
22468184-0cc6-427a-a096-bf4aa1753c64-9,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.782199,3,61.46875,12.34375,-12.34375,1380766225.782199
22468184-0cc6-427a-a096-bf4aa1753c64-10,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.812186,3,61.40625,13.4375,-8.140625,1380766225.812186
22468184-0cc6-427a-a096-bf4aa1753c64-11,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.847755,3,61.40625,13.359375,-6.5625,1380766225.847755
22468184-0cc6-427a-a096-bf4aa1753c64-12,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.872251,3,61.40625,14.765625,-6.921875,1380766225.872251
22468184-0cc6-427a-a096-bf4aa1753c64-13,6b4eb937-f797-4327-89b6-bab34b8f750c,1380766225.902202,3,61.46875,14.421875,-5.546875,1380766225.902202
