id,device,timestamp,accuracy,azimuth,pitch,roll,timestamp
08690c35-a974-42f7-8688-40e3161b8865-89,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.420798,3,311.17188,-17.40625,-5.0625,1380157378.420798
08690c35-a974-42f7-8688-40e3161b8865-90,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.451793,3,293.65625,-14.9375,8.21875,1380157378.451793
08690c35-a974-42f7-8688-40e3161b8865-91,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.480779,3,283.95313,-12.375,0.109375,1380157378.480779
08690c35-a974-42f7-8688-40e3161b8865-92,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.510934,3,278.04688,-15.171875,-5.546875,1380157378.510934
08690c35-a974-42f7-8688-40e3161b8865-93,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.540916,3,277.75,-12.75,-1.515625,1380157378.540916
08690c35-a974-42f7-8688-40e3161b8865-94,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.570928,3,273.59375,-14.359375,-1.8125,1380157378.570928
08690c35-a974-42f7-8688-40e3161b8865-95,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.601119,3,268.45313,-18.234375,0.5,1380157378.601119
08690c35-a974-42f7-8688-40e3161b8865-96,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.630951,3,268.54688,-15.28125,-2.0625,1380157378.630951
08690c35-a974-42f7-8688-40e3161b8865-97,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.660927,3,268.92188,-11.546875,2.765625,1380157378.660927
08690c35-a974-42f7-8688-40e3161b8865-98,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.690935,3,278.26563,-6.1875,14.5,1380157378.690935
08690c35-a974-42f7-8688-40e3161b8865-99,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.720876,3,283.10938,-6.140625,15.65625,1380157378.720876
08690c35-a974-42f7-8688-40e3161b8865-100,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.750827,3,279.26563,-9.78125,-6.046875,1380157378.750827
08690c35-a974-42f7-8688-40e3161b8865-101,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.780773,3,279.125,-8.84375,1.234375,1380157378.780773
08690c35-a974-42f7-8688-40e3161b8865-102,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.810798,3,316.3125,-4.03125,37.4375,1380157378.810798
08690c35-a974-42f7-8688-40e3161b8865-103,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.8408,3,306.73438,-6.671875,28.875,1380157378.8408
08690c35-a974-42f7-8688-40e3161b8865-104,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.87081,3,291.625,-10.15625,3.28125,1380157378.87081
08690c35-a974-42f7-8688-40e3161b8865-105,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.900783,3,283.17188,-11.75,3.078125,1380157378.900783
08690c35-a974-42f7-8688-40e3161b8865-106,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.930784,3,283.0625,-8.9375,19.328125,1380157378.930784
08690c35-a974-42f7-8688-40e3161b8865-107,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.960773,3,294.10938,1.953125,23.125,1380157378.960773
08690c35-a974-42f7-8688-40e3161b8865-108,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157378.990784,3,312.78125,62.140625,15.484375,1380157378.990784
08690c35-a974-42f7-8688-40e3161b8865-109,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.02078,3,322.26563,64.46875,13.40625,1380157379.02078
08690c35-a974-42f7-8688-40e3161b8865-110,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.050819,3,322.60938,48.53125,9.78125,1380157379.050819
08690c35-a974-42f7-8688-40e3161b8865-111,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.080773,3,308.25,130.65625,-39.328125,1380157379.080773
08690c35-a974-42f7-8688-40e3161b8865-112,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.110763,3,308.625,108.03125,-16.359375,1380157379.110763
08690c35-a974-42f7-8688-40e3161b8865-113,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.140793,3,308.98438,56.921875,-14.625,1380157379.140793
08690c35-a974-42f7-8688-40e3161b8865-114,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.170768,3,303.04688,41.984375,-26.34375,1380157379.170768
08690c35-a974-42f7-8688-40e3161b8865-115,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.200943,3,290.76563,31.234375,-43.625,1380157379.200943
08690c35-a974-42f7-8688-40e3161b8865-116,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.230791,3,290.89063,131.0625,-41.046875,1380157379.230791
08690c35-a974-42f7-8688-40e3161b8865-118,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.260784,3,281.21875,33.953125,-55.796875,1380157379.260784
08690c35-a974-42f7-8688-40e3161b8865-119,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.290778,3,276.82813,39.53125,-44.546875,1380157379.290778
08690c35-a974-42f7-8688-40e3161b8865-120,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.322272,3,249.76563,23.96875,-20.484375,1380157379.322272
08690c35-a974-42f7-8688-40e3161b8865-121,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.351808,3,227.95313,21.21875,-17.859375,1380157379.351808
08690c35-a974-42f7-8688-40e3161b8865-122,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.380768,3,235.96875,46.703125,-11.75,1380157379.380768
08690c35-a974-42f7-8688-40e3161b8865-123,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.410767,3,245.10938,33.890625,-54.0625,1380157379.410767
08690c35-a974-42f7-8688-40e3161b8865-124,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.440754,3,298.25,76.34375,-7.796875,1380157379.440754
08690c35-a974-42f7-8688-40e3161b8865-125,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.470771,3,311.95313,63.296875,-11.71875,1380157379.470771
08690c35-a974-42f7-8688-40e3161b8865-126,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.50084,3,278.96875,35.40625,-46.21875,1380157379.50084
08690c35-a974-42f7-8688-40e3161b8865-127,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.530808,3,270.59375,47.875,-31.65625,1380157379.530808
08690c35-a974-42f7-8688-40e3161b8865-128,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.560743,3,266.07813,51.203125,-19.359375,1380157379.560743
08690c35-a974-42f7-8688-40e3161b8865-129,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.592125,3,273.51563,55.453125,-32.75,1380157379.592125
08690c35-a974-42f7-8688-40e3161b8865-130,6b4eb937-f797-4327-89b6-bab34b8f750c,1380157379.620801,3,287.8125,118.5625,-25.71875,1380157379.620801
